Response ID,Response started,Response completed,RD1 - Please select the role most applicable to you:,RD2 - How many years of previous programming experience do you have?,RD3 - Do you have any prior experience with Programmable Logic Controllers?,RD4 - Which programming languages do you use to write code for Programmable Logic Controllers?,"W1 - Suppose the following automation task containing two switches and one motor, where to turn the motor ON, both switches must be ON. The possible states for the elements of this task can be described by the table and illustration below:     Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R1 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W2 - Suppose the following automation task containing two buttons and one light bulb, where to turn the light bulb ON, at least one button must be OFF. The possible states for the elements of this task can be described by the table and illustration below:   Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R2 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W3 - Suppose the following automation task containing two buttons and one light bulb, where to turn the light ON both buttons must be OFF. The possible states for the elements of this task can be described by the table and illustration below: Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R3 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W4 - Suppose the following automation task containing two buttons and one light bulb, where for the light to be ON, the two buttons must keep in the same state. The possible states for the elements of this task can be described by the table and illustration below:  Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R4 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W5 - Suppose the following automation task containing two switches and one sprinkler, where to turn the sprinkler ON, the two switches must be in opposite states. In other words, while one switch is ON, the other must be OFF to activate the sprinkler. The possible states for the elements of this task can be described by the table and illustration below: Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R5 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","Q1 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I think that I would like to use Ladder Logic frequently.]","Q2 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found Ladder Logic unnecessarily complex.]","Q3 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I thought that Ladder Logic was easy to use.]","Q4 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I think that I would need assistance to be able to use Ladder Logic.]","Q5 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found the various functions in Ladder Logic were well integrated.]","Q6 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I thought there was too much inconsistency in Ladder Logic.]","Q7 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I would imagine that most people would learn to use Ladder Logic very quickly.]","Q8 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found Ladder Logic very cumbersome/awkward to use.]","Q9 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I felt very confident using Ladder Logic.]","Q10 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I needed to learn a lot of things before I could get going with Ladder Logic.]",OQ - What is your opinion about Ladder Logic? Feel free to provide any thoughts about this language or click on the 'Submit' button to submit your answer.
krBoBAvy,"May 31, 2020 02:35:02 PM","May 31, 2020 03:14:57 PM",Other,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC),Other","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"3 - Correct structure and labels, wrong symbols","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,3,3,2,5,1,4,2,3,2,"Ladder logic is useful for PLC programming, but not as intuitive as some of the newer programming languages and constructs (such as prepackaged libraries)"
0vCNJvoC,"Jun 01, 2020 08:16:50 PM","Jun 01, 2020 10:44:49 PM",Researcher,5+ Years,No experience,No experience,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,1,5,2,5,1,5,1,5,2,"Thanks for reaching out to me to evaluate the Ladder Logic. I was confused a bit on the last quiz question: There is a Start button and Stop button in the input symbols. In general, the input symbols can be treated as variables in programming languages, but some variables might depend on other variables. In this case, if the start button and stop button are dependent, then the answer would be different. For clarity, the logic diagram should have state if two symbols are dependent or independent symbols."
AHCs1PDm,"Jun 01, 2020 11:52:11 PM","Jun 02, 2020 12:08:27 AM",Researcher,5+ Years,1-2 Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,1,4,5,5,1,4,2,4,4,
JLCh1Smx,"Jun 02, 2020 12:10:03 AM","Jun 02, 2020 12:29:46 AM",Researcher,1-2 Years,1-2 Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","3 - Correct structure and labels, wrong symbols","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,4,2,4,2,3,2,4,3,4,
bmCC3yRb,"Jun 02, 2020 01:58:36 AM","Jun 02, 2020 02:32:15 AM",Researcher,3-5 Years,< 1 Year,No experience,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, and the Test Button is OFF.","3 - Correct structure and labels, wrong symbols","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,4,2,4,2,4,2,4,2,3,I considered 1 as strongly agree and 5 strongly disagree for the final survey.
CPzuh5Om,"Jun 02, 2020 02:04:52 AM","Jun 02, 2020 03:01:06 AM",Researcher,5+ Years,3-5 Years,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is OFF and the Water Level Detector is ON.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,2,4,2,3,3,3,4,3,I think ladder logic diagram evolved over a period of time but it would be useful to build the ladder logic automatically from natural language processing
pCzx1Kit,"Jun 02, 2020 03:01:43 AM","Jun 02, 2020 03:51:07 AM",Researcher,3-5 Years,3-5 Years,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,5,1,2,2,2,2,2,2,2,Use natural language programming to convert human language into logic automatically.
E3z6uVpZ,"Jun 02, 2020 12:35:22 PM","Jun 02, 2020 12:56:09 PM",Software Developer,3-5 Years,< 1 Year,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"7 - Wrong structure, symbols and labels",Light will be turned ON only when Button A is ON and button B is OFF.,"1 - Correct structure, symbols and labels","Alarm will be turned ON when at least one of the following elements is ON: Smoke Detector, Carbon Monoxide Detector or Test Button.","3 - Correct structure and labels, wrong symbols","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,2,4,2,4,1,3,2,5,4,
wBbYqKjS,"Jun 03, 2020 02:30:40 AM","Jun 03, 2020 02:46:42 AM",Researcher,5+ Years,< 1 Year,Structured text (ST),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,3,3,3,3,2,3,3,3,3,
NoChYWlV,"Jun 03, 2020 05:14:36 AM","Jun 03, 2020 09:13:29 AM",Researcher,5+ Years,3-5 Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,3,1,3,1,4,4,4,1,"It is comparable to logic gates in computers, but no one directly uses the gates in a computer!
The downsides are 
- lack of reusable code
- difficulty in making libraries
- no abstraction

Although I would say sometimes, for simpler projects, it is easier to have the ladder logic since it just extends human thinking."
